Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list,CNfault_time_list,Icn_y,basic_freq_list
1739000100,0.000000,21.128142,0,9181.531721,85.064722,0,0.011034,-0.010698,41.981390
1739000406,5.100000,15.394281,0,8856.113508,64.256869,0,0.026717,-0.026289,24.960557
1739001319,20.316667,20.424246,0,9131.322580,82.682895,0,0.010249,-0.010226,42.041191
1739001928,30.466667,20.483400,0,9076.462852,83.423562,0,0.012810,-0.011695,41.775153
1739002537,40.616667,20.632268,0,9070.987115,84.080589,0,0.012717,-0.012448,41.716115
1739003147,50.783333,20.217929,0,9133.422237,81.828853,0,0.010438,-0.010154,41.808915
1739003452,55.866667,20.199099,0,9125.084647,81.827338,0,0.013183,-0.013170,41.733150
1739004062,66.033333,20.892487,0,9231.338650,83.662103,0,0.013031,-0.011070,41.984812
1739004976,81.266667,21.173381,0,9083.678418,86.165178,0,0.011206,-0.010763,41.757545
1739005281,86.350000,20.327043,0,9085.396731,82.705355,0,0.009927,-0.008740,41.752856
1739007111,116.850000,20.135883,0,9020.938242,82.512984,0,0.012165,-0.011130,41.669400
1739010159,167.650000,20.467321,0,9114.682143,83.008544,0,0.020758,-0.018041,41.660956
1739010464,172.733333,20.523894,0,9038.736892,83.937368,0,0.013621,-0.013153,41.515740
1739011378,187.966667,20.652861,0,9127.339116,83.644879,0,0.011080,-0.009542,41.753852
1739013208,218.466667,20.440135,0,9128.541655,82.772424,0,0.018280,-0.014751,41.678265
1739013513,223.550000,20.341848,0,9028.982722,83.282723,0,0.012142,-0.010325,41.601567
1739018086,299.766667,20.526930,0,9091.462896,83.462918,0,0.012931,-0.012766,41.845782
1739024488,406.466667,15.765774,0,8809.118166,66.158583,0,0.016844,-0.015818,25.188916
1739035465,589.416667,20.207018,0,9120.607118,81.899603,0,0.012992,-0.012930,41.783145
1739036076,599.600000,19.961909,0,9061.389812,81.434902,0,0.011394,-0.011220,41.608934
1739036381,604.683333,20.620071,0,9102.025753,83.744332,0,0.010563,-0.010348,41.829570
1739037599,624.983333,20.938129,0,9144.289758,84.643031,0,0.012844,-0.012366,41.791255
1739038208,635.133333,20.170730,0,9071.549829,82.194633,0,0.014257,-0.012057,41.793951
1739038819,645.316667,21.001259,0,9181.323291,84.555793,0,0.007324,-0.005611,41.917018
1739040343,670.716667,20.701634,0,9087.386033,84.211027,0,0.011359,-0.011204,41.775269
1739040647,675.783333,19.981703,0,9036.705017,81.738324,0,0.019719,-0.017767,41.674352
1739041563,691.050000,20.638723,0,9122.507096,83.631895,0,0.013201,-0.012782,41.822625
1739043086,716.433333,20.454325,0,9194.407942,82.236518,0,0.015552,-0.014741,42.014654
1739045526,757.100000,20.769819,0,9064.524501,84.701482,0,0.013233,-0.012764,41.472042
1739046440,772.333333,20.150669,0,9086.002789,81.982266,0,0.020474,-0.020152,41.544717
1739046747,777.450000,20.209364,0,9055.872077,82.494630,0,0.004703,-0.004673,41.685741
1739047356,787.600000,20.137806,0,9067.054020,82.101156,0,0.014905,-0.014525,41.524784
1739047661,792.683333,20.609519,0,9043.270401,84.245298,0,0.018522,-0.017736,41.583240
